iter	Passed	Remaining
652	527819	3513677
653	528617	3512802
654	529415	3511924
655	530218	3511082
656	531026	3510272
657	531831	3509441
658	532640	3508640
659	533441	3507784
660	534243	3506935
661	535041	3506059
662	535842	3505199
663	536638	3504314
664	537440	3503467
665	538242	3502616
666	539043	3501764
667	539848	3500933
668	540645	3500053
669	541444	3499188
670	542252	3498377
671	543059	3497559
672	543866	3496749
673	544668	3495896
